User_ID,Social_Friends,crowdfunding_project_id
1,19 52 16 2 36 31 81 42 87 51,1000002330
2,71 7 40 83,1000003930
3,90 26 6,1000004038
4,42 9,1000007540
5,10 64 84 37 92 28 38,1000011046
6,37 72 53 76 10 88 9 46,1000014025
7,18 94,1000023410
8,44 26 36 99,1000030581
9,67 58 48 69 56 9 52 84 4,1000034518
10,98 13 67 37 58,100004195
11,67 28 50 47 3 1,100004721
12,14 81,100005484
13,59 44 85,1000055792
14,98 60 86 87 69 61 90 73 41,1000056157
15,96 63 43 59 94 76 37 56,1000057089
16,47 54 65 94 48,1000064368
17,16 35 68 53 37 32 76 8 25,1000064918
18,51 91 61 36 95,1000068480
19,8 24 41,1000070642
20,45 36 60,1000071625
21,16 45 63 83 26 76,1000072011
22,84 87 14 93 58 40 16,1000081649
23,97 43 10 58 36 96,1000082254
24,26 57,1000087442
25,87 65 26 54 1 24 21,1000091520
26,76 25,1000102741
27,68 74 30 23 80,1000103948
28,84 70,1000104688
29,39 49 46 1 67 25 48 98 44,1000104953
30,73 6,100011318
31,21 72 27 98 14 33 9 50 99,1000115172
32,60 23,1000117861
33,11 58 55 71 95 38,1000120151
34,79 37 15 56,1000120287
35,88 14,100012079
36,13 49 22 59 89 38 78 99 28,1000129669
37,29 42 20 64 41 37 67,1000131947
38,84 43,1000132945
39,82 31 18 59,1000134913
40,18 76 39 33 96 50 95 88 45 86,1000146991
41,19 65 81 82 74,1000149007
42,53 39,1000153208
43,12 97 21 72,1000160286
44,27 45 53 76 62 85 39,1000170964
45,33 12 56 47 25 54 58,1000171141
46,92 36 96 70,1000182258
47,99 86 32 77,1000183112
48,54 23 21 82 19,1000184224
49,45 21,1000190427
50,90 88 13 75 8 78 99 29,1000197321
51,91 37 10 68 80 6 65 26 93 27,1000201265
52,80 90 40 32 70 9 50 37 35,100020143
53,2 55 82 34 6 62 99 89 32 60,1000202062
54,39 27 68 17 21 61 80 28,1000212914
55,33 30 34 54 91,1000216800
56,73 51 85 88,1000217634
57,68 82 17,1000226576
58,24 12 81 59 20,1000227361
59,25 7 93 5 98 65,1000230071
60,94 68 2,1000232288
61,61 64,1000233415
62,46 56 41 84 37,1000234595
63,49 43 78 74 75 16 92,1000235465
64,62 8 53 46,1000235643
65,77 49 1 60 48 75 68 58,1000243793
66,10 26,1000245024
67,62 48 4 95 94 36,1000252415
68,55 81 26 1 28 59 41 76 11 79,1000256230
69,53 71 52 58 78 98 97 3,1000256760
70,31 56 99 21,1000257563
71,52 13 85,1000260691
72,43 32 20 76 99 33 1,1000261018
73,11 33 79 46,1000268182
74,64 87,1000278154
75,56 85 15 30 20 80 43,1000282287
76,16 85 91 7,1000291122
77,77 80 37 64 32 57 81 78 51 34,1000291263
78,67 29 55 72 4 43 52 33 21 58,1000294559
79,65 50 14 97 95,1000320473
80,79 82 53 24,1000328150
81,26 24 42 44,1000328328
82,21 98 55 15 71,1000331311
83,97 35 24 18 46,1000332383
84,99 32 9 22,1000333671
85,14 46 13 25 39 12 91 92,1000334074
86,38 32 34 6,1000335422
87,61 6 33 52 71,1000338818
88,17 9 69 40 7 58 66 50,1000339877
89,62 92 59 79 36 65 83 89 72 70,1000340977
90,70 98 15 6,1000344383
91,70 30 78 64 53 1,1000348690
92,40 60 3 76 32 38,1000348776
93,4 28 97 68,1000354338
94,54 81 93 1 64 82 69 13,10003650
95,20 69 97 22 15 47 4 72 31 17,1000374001
96,89 38,1000386601
97,28 45 67,1000389241
98,41 93 71 46 17 60,1000392220
99,85 86 22,100039820
100,30 90 91 62 32,1000399155
